Outer fold,ANN n,ANN E,Linear regression lambda,Linear regression E,Baseline E
1,1.0,1.16344e-05,0.001,4.1905e-06,1.16072e-05
2,1.0,1.06205e-05,1e-07,2.5238e-06,1.03343e-05
3,2.0,2.0309e-06,1e-07,4.8683e-06,1.6715e-06
4,2.0,8.3475e-06,0.001,9.8516e-06,5.0471e-06
5,3.0,1.73906e-05,1.0,5.3267e-06,1.50806e-05
6,1.0,4.9602e-06,0.1,2.081e-06,4.1375e-06
7,2.0,9.2634e-06,1e-08,1.4469e-06,9.6409e-06
8,3.0,6.7357e-06,0.001,6.3049e-06,1.51201e-05
9,2.0,3.1788e-06,1e-07,4.8e-06,2.7552e-06
10,1.0,9.4143e-06,0.1,5.0455e-06,8.3933e-06
